"sep=,"
"Well Crafted Wine & Beverage Co. inventory as at 2025-09-30"
" "
Warehouse,Account,"Item number","Item type",Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,"Items per case","Unit quantity",Unit,"Barrel or tank",Liters,"Unit COGS",COGS,"Pending orders (cases)","Pending orders (unit quantity)","Pending goods received (cases)","Pending goods received (unit quantity)"
Warrenton,"Well Crafted Wine & Beverage Co.",14444,Wine,"Vivino Selections",Italian,Bacio,"Semi Sweet Red",,ITA1059,,Still,Red,,16.33,12,196,"750 ml",,147.00,0,0,-2.50,-30,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17951,Wine,"Marquee Selections","South African",Backsberg,"Blueberry Row Pinotage",,SAF1048,2020,Still,Red,,1.42,12,17,"750 ml",,12.75,0,0,-1.42,-17,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15216,Wine,"Marquee Selections","South African",Backsberg,"Cabernet Sauvignon",,SAF1049,2019,Still,Red,,0.42,12,5,"750 ml",,3.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24246,Wine,"Marquee Selections","South African",Backsberg,"Chenin Blanc (White and Blue Label)",,SAF1046,2023,Still,White,"Chenin Blanc",0.33,12,4,"750 ml",,3.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28990,Wine,"Marquee Selections","South African",Backsberg,"Chenin Blanc (White and Blue Label)",,SAF1046,2024,Still,White,"Chenin Blanc",9.00,12,108,"750 ml",,81.00,0,0,-5.67,-68,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30244,Wine,"Marquee Selections","South African",Backsberg,"Ella Rose",,SAF1047,2024,Still,Rose,,3.33,12,40,"750 ml",,30.00,0,0,-3.33,-40,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16085,Wine,"Marquee Selections","South African",Backsberg,"Family Reserve White",,SAF1053,2017,,,"Roussane, Chardonnay, Sauvignon Blanc",0.33,12,4,"750 ml",,3.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25087,Wine,"Marquee Selections","South African",Backsberg,"Patriarch Cabernet Franc",,SAF1097,2022,Still,Red,"Cabernet Franc",5.08,12,61,"750 ml",,45.75,0,0,-3.92,-47,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16087,Wine,"Marquee Selections","South African",Backsberg,"Pumphouse Shiraz",,SAF1051,2018,Still,Red,Shiraz,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",19643,Wine,"Marquee Selections","South African",Backsberg,"Pumphouse Shiraz",,SAF1051,2020,Still,Red,Shiraz,8.92,12,107,"750 ml",,80.25,0,0,-3.17,-38,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",21129,Wine,"Marquee Selections","South African",Backsberg,Rose,,SAF1047,2022,Still,Rose,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",27309,Wine,"Marquee Selections","South African",Backsberg,"Smuggled Vines Chardonnay",,SAF1101,2024,Still,White,Chardonnay,5.92,12,71,"750 ml",,53.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17953,Wine,"Marquee Selections","South African",Backsberg,"Sydney Back Chardonnay",,SAF1056,2020,Still,White,Chardonnay,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28217,Wine,"Marquee Selections","South African",Backsberg,"Sydney Back Chardonnay",,SAF1056,2021,Still,White,Chardonnay,4.92,12,59,"750 ml",,44.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28353,Wine,"Marquee Selections","South African",Backsberg,"Sydney Back Merlot",,SAF1058,2022,Still,Red,Merlot,13.42,12,161,"750 ml",,120.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25140,Wine,"Marquee Selections","South African",Backsberg,"Sydney Back Pinotage",,SAF1095,2021,Still,Red,,1.25,12,15,"750 ml",,11.25,0,0,-1.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29308,Wine,Baleia,"South African",Baleia,Chardonnay,,SAF1116,2022,Still,White,Chardonnay,5.83,12,70,"750 ml",,52.50,0,0,-1.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29310,Wine,Baleia,"South African",Baleia,"Pinot Noir",,SAF1118,2023,Still,Red,,32.67,12,392,"750 ml",,294.00,0,0,-1.00,-12,0.00,0
