customerName,invoiceCount,totalValue
"CWD Samples Tara",3,5.09
"Ancona's Ridgefield",2,5.00
"284 Via Grande LLC",1,5.00
"BB KITCHEN LLC",1,5.00
"The Study Fine Wines",2,5.00
"The three Lenox brothers corp",1,5.00
"448 Franklin Avenue LLC",1,5.00
"Tourmaline",1,5.00
"Liquor Locker of Westport",1,5.00
"Vine Box",1,5.00
"Dash of Salt Catering",2,5.00
"Paradise Liquors",1,5.00
"Wine Hut Corp",1,5.00
"Pinkerton Wine Bar LLC",1,5.00
"SECRET SUMMER HOSPITALITY GROUP LLC",2,5.00
"Big Gary's Discount Liquors",1,5.00
"Scalini Fedeli",1,5.00
"205 Thompson St. LLC",1,5.00
"Mistral",1,5.00
"Gus’s",1,5.00
"Just Adventure INC La Vid Wines & Spirits",1,5.00
"Cafe Cluny",1,5.00
"Vinegar Hill House Inc.",1,5.00
"Buddakan",1,5.00
"Bistrotier LLC",1,5.00
"Legacy Wine and Spirits",1,5.00
"Spirits of Cairo",1,5.00
"Navesink Country Club",1,5.00
"Hawthorne Liquors",1,5.00
"WildAir Cuatro Lobos Inc",1,5.00
"Art of Wine",1,5.00
"NODA",1,5.00
"Born to Lose LLC",1,5.00
"Windsor Wine Merchants",1,5.00
"Some Good Wine",2,5.00
"JFW LLC",2,4.67
"Wine Thief Madison",1,4.50
"CQDQ Flatiron New York, LLC",3,4.33
"Sarah Moran",2,4.33
"Sample Account - 59 Howard Street",1,4.33
"Sullaluna NYC",2,4.00
"Community Wine",1,4.00
"Wine.com",2,4.00
"Heuristic Analytic Services CC",4,4.00
"The River",1,4.00
"Whole Foods Wine Store Manhattan",1,4.00
"West Harlem Vines Inc.",1,4.00
"Little Mo Wine Inc.",1,4.00
"Hamilton Farm Golf Club",1,4.00
"Agora Beacon LLC",1,4.00
"Colonia Verde",1,4.00
"Georgia Room / Bar Calico",1,4.00
"Avenue A Pizza, LLC",1,4.00
"The Dublin Yard",1,4.00
"East Village Wine Corp.",1,4.00
"Red, White, & Green Wine",1,4.00
"The Whitlock",1,4.00
"Stew Leonard's Wine and Spirits-Danbury",2,4.00
"HRLM Champagne",1,4.00
"The Yard Haledon",1,4.00
"Crow and Chick LLC",1,4.00
"Birds",1,4.00
"Aunts et Uncles",1,4.00
"Minetta Tavern",1,4.00
"Woodhul Wine Bar",1,4.00
"Digesteve Gastronomic Spirits & Wine LLC",1,4.00
"Hirohisa",1,4.00
"Gallaghers Steakhouse",2,4.00
"Beer Karma, LLC",1,4.00
"4F Sur Montaigu LLC",1,4.00
"Jojo Restaurant",1,4.00
"Wolf on Broadway LLC",1,4.00
"Cornwall Package",1,4.00
"BARBUTO RESTAURANT",1,4.00
"Playground Coffee Shop Inc.",1,4.00
"El Vino Crudo",1,4.00
"Why Nose LLC",1,4.00
"Mid Valley Wine & Liquor",1,4.00
"Southbridge Wines & Spirits",1,4.00
"Cecily",1,4.00
"Julian Castaybert - Samples",1,3.75
"LibCorp LLC",1,3.67
"Double Deep LLC",1,3.50
"A24 Commerce St LLC and Galactus Group LLC as",2,3.25
"Pier Wines Corp.",2,3.17
"Lillie Wolff Inc.",1,3.17
"The Pluckemin Inn",1,3.08
"Gramercy Wine & Spirits",1,3.00
"Village Wines",1,3.00
"Kingston Bistro LLC",1,3.00
"Avon Wine and Spirits",2,3.00
"Aretsky's Patroon",1,3.00
"Bar Bianchi",1,3.00
"Court Liquors",1,3.00
"Central Perk Wine & Spirits",1,3.00
"Spring Lake Golf Club",1,3.00
"Springs Wine & Spirits",1,3.00
"Disco Bottles",1,3.00
"Sandy Hook Wine and Liquor",1,3.00
"Dae New York LLC",1,3.00
"Old Greenwich Wine Merchants",1,3.00
"Mamo",1,3.00
"Maria Bonita Salon",2,3.00
"Churrascaria Brazerio North Bergen",1,3.00
"Trattoria Tre Colori Inc",1,3.00
"Barrel & Brew Bar and Liquor",1,3.00
"Churrascaria Brazerio Cliffside Park",1,3.00
"Wine Tasters of Larchmont",1,3.00
"Grande Cellars Inc.",1,3.00
"Tria, Rittenhouse Square",1,3.00
"My Loup",1,3.00
"Chez Margaux",1,3.00
"San Vicente West Village",1,3.00
"Neon Sky LLC",1,3.00
"Embassy Liquor dba New Embassy Wine",1,3.00
"Beacon Diner",1,3.00
"Cree Wine Company",1,3.00
"354 Steakhouse",1,3.00
"WWPalmetto LLC",1,3.00
"Sauced Rooster LLC",1,3.00
"The Alps",1,3.00
"Untable",1,3.00
"Leo",1,3.00
"Southdown Coffee LLC",1,3.00
"Bodega Wines and Spirits",1,3.00
"Madd Hatter",1,3.00
"Binx",1,3.00
"The Grill",1,3.00
"Death Ave Wines",1,3.00
"Wine Dad's",1,3.00
"Shellbi and Co. LLC",1,3.00
"Lama Spiral 66th Floor LLC",1,3.00
"JMB Harlem",1,3.00
"Blue Angel Wines",1,2.67
"French Laundry",1,2.50
"GV Samples - David Seal",3,2.50
"Cellar 36",1,2.50
"Perry Street Restaurant",1,2.50
"Steak Frites",1,2.50
"Luthun",1,2.25
"Fantasma LLC | Cork & Fork",1,2.17
"Glen Liquors Incorporated",1,2.17
"Venerdi INC",1,2.00
"Sara Morano",1,2.00
"East Harlem Bottling Co LLC",1,2.00
"Jasmine Monet",2,2.00
"Luca Zocche",1,2.00
"Bob's Centerbrook Package Store",1,2.00
"River Cliff Wines and Spirits",1,2.00
"Westchester Wine Warehouse",1,2.00
"Cost Cutters Plainfield",1,2.00
"Mitsuru",1,2.00
"The Spread South Norwalk",2,2.00
"Stockton Inn",1,2.00
"Harry's Wine & Liquor Market",1,2.00
"American Sake Group Inc",2,2.00
"Musket Room",1,2.00
"Zahav",1,2.00
"Abrahamson",1,2.00
"Total Wine & More Milford",1,2.00
