Origin,Region,Supplier,Item,Unit,SKU,Frontline WCB Price,Discount WCB Price,BTG- On Premise Only,Special Pricing 1,Terms,,,Female Owned,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Sweetwater Springs Petite Sirah,0.750,CAL1293,$43.33,,,,,,,,93 points (Wine Enthusiast) 2017,,,
California,Dry Creek (Sonoma County),Knuttel Family,"Dry Creek Valley Cabernet Sauvignon ""Sebastian's Infinite Limits""",0.750,CAL1148,$16.67,$15.99,$15.00,$15.00,3+ cases,,,,,,x,
California,Russian River Valley (Sonoma County),Knuttel Family,"Russian River Valley Chardonnay ""Kate's Pas de Deux""",0.750,CAL1150,$15.33,$14.67,$13.33,$14.33,3+ cases,,,,97 points (2024 Press Democrat North Coast Wine Challenge) 2022 DOUBLE GOLD,,x,
California,Sonoma County,Knuttel Family,"Sonoma Coast Pinot Noir ""Bill's Hidden Track""",0.750,CAL1149,$16.67,$15.99,$13.33,$14.33,3+ cases,,,,90 points (The Wine Enthusiast) 2021,,x,
California,Sonoma County,Knuttel Family,Zinfinity,0.750,CAL1151,$11.33,$10.67,,$10.25,3+ cases,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Bacigalupi Chardonnay,0.750,CAL1369,$45.00,,,$38,18 bottles in brand mix and match,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Ft. Ross Seaview Pinot Noir,0.750,CAL1370,$70.00,,,$60,18 bottles in brand mix and match,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Petite Sirah,0.750,CAL1377,$73.33,,,$60,18 bottles in brand mix and match,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Napa Valley Cabernet Sauvignon,0.750,CAL1371,$80.00,,,$72,18 bottles in brand mix and match,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Reserve Napa Cabernet Sauvignon,0.750,CAL1372,$156.66,,,,,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Stagecoach Cabernet Sauvignon,0.750,CAL1373,$160.00,,,$135,18 bottles in brand mix and match,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley Oakville Ranch Cabernet Sauvignon,0.750,CAL1374,$175.00,,,,,,,,,,,
California,Napa Valley,Macauley Vineyard,Macauley To Kalon Cabernet Sauvignon,0.750,CAL1375,$250.00,,,$210,18 bottles in brand mix and match,,,,,,,
California,Napa Valley,Mike & Molly Hendry,Mike & Molly Hendry Zinfandel,0.750,CAL1265,$33.33,,,,,,,,,,,
California,San Luis Obispo (Central Coast),Oceano,Oceano Chardonnay,0.750,CAL1301,$30.00,,$20.00,,,,,Female Owned/Winemaker,,,,
California,San Luis Obispo (Central Coast),Oceano,Oceano Low ABV Syrah,0.750,CAL1351,$45.00,,,,,,,Female Owned/Winemaker,,,,
California,San Luis Obispo (Central Coast),Oceano,Oceano Pinot Noir,0.750,CAL1302,$36.67,,,,,,,Female Owned/Winemaker,,,,
California,San Luis Obispo (Central Coast),Oceano,Oceano Zero Chardonnay,0.750,NON1012,$30.00,,,,,,,Female Owned/Winemaker,,,,
California,San Luis Obispo (Central Coast),Oceano,Oceano Zero Pinot Noir,0.750,NON1023,$36.67,,,,,,,Female Owned/Winemaker,,,,
California,Howell Mountain,Oleandri,Oleandri Howell Mountain Cabernet Sauvignon,0.750,CAL1363,$93.33,,,$90.00,26 bottles Oleandri Family,,,,92 pts Wine Enthusiast,,,
California,Napa Valley,Oleandri,Oleandri Napa Cabernet Franc,0.750,CAL1364,$93.33,,,$90.00,27 bottles Oleandri Family,,,,,,,
California,Napa Valley,Oleandri,Oleandri Napa Valley Cabernet Sauvignon,0.750,CAL1365,$93.33,,,$90.00,28 bottles Oleandri Family,,,,,,,
California,Rutherford,Oleandri,Oleandri Rutherford Cabernet Sauvignon,0.750,CAL1366,$123.33,,,$120.00,29 bottles Oleandri Family,,,,92 pts Wine Enthusiast,,,
California,Santa Rita Hills,Oleandri,Oleandri Sta Rita Hills Pinot Noir,0.750,CAL1362,$56.66,,,$53.33,25 bottles Oleandri Family,,,,,,,
